feature,rank
2018_04_30_NDMI,0
2018_11_16_NDWI,1
2019_01_25_B01,2
2019_01_25_NDBI,3
2018_11_16_B8A,4
2019_01_25_B08,5
2019_01_25_B09,6
2019_02_24_B03,7
2018_06_19_B06,8
2018_11_16_B09,9
2018_09_27_B02,10
2019_01_25_B06,11
B11_q75_25,12
B11_q90,13
NDVI_q75,14
B11_q90_10,15
2018_06_19_B01,16
2019_02_24_B02,17
2019_01_25_B02,18
B12_q75,19
2018_12_06_B03,20
2019_01_25_NDVI,21
2019_02_24_B06,22
NDBI_q90,23
2018_06_19_B03,24
2019_01_25_B04,25
2018_11_16_B04,26
2019_01_25_B07,27
B02_q50,28
B02_q75,29
NDMI_q90,30
B02_q90_10,31
2018_05_10_B09,32
2018_10_07_B05,33
2018_10_07_B11,34
2018_12_06_B06,35
2018_09_27_B11,36
2018_10_07_NDWI,37
2018_11_16_B01,38
2018_12_06_B05,39
2018_05_10_B07,40
2018_10_07_B03,41
2018_09_27_B01,42
2018_11_16_B12,43
B09_q25,44
B09_q75,45
NDMI_q25,46
B11_var,47
2018_04_30_NDVI,48
2018_10_07_B09,49
2018_08_18_B12,50
2018_11_16_B11,51
2018_09_27_B12,52
2018_12_06_B12,53
2018_12_06_B02,54
2018_10_07_B02,55
2018_05_10_B12,56
2018_11_16_B02,57
2018_09_27_B09,58
2018_11_16_B06,59
B02_q10,60
B02_q25,61
B02_var,62
NDVI_q90_10,63
2018_05_10_B02,64
2018_10_07_B04,65
2018_11_16_B07,66
B05_q75_25,67
2018_10_07_NDBI,68
2018_10_07_B8A,69
2019_01_25_B11,70
2018_12_06_B07,71
2018_05_10_NDBI,72
2018_09_27_B08,73
2018_08_18_NDWI,74
2018_12_06_NDWI,75
B09_q75_25,76
B09_q90,77
NDMI_var,78
B11_q25,79
2018_04_30_B05,80
2018_07_29_B09,81
2018_11_16_B03,82
2018_11_16_B05,83
2018_08_18_B06,84
2018_08_18_B09,85
2018_08_18_B05,86
2018_07_29_B03,87
2018_04_30_B8A,88
2018_05_10_NDVI,89
2018_05_10_B8A,90
2018_07_29_B07,91
B01_q90_10,92
B06_var,93
B11_q10,94
B01_q90,95
2018_03_31_NDMI,96
2018_06_19_B09,97
2018_10_07_B08,98
2018_12_06_NDVI,99
2018_08_18_B08,100
2018_08_18_NDMI,101
2018_09_27_B05,102
2018_09_27_B06,103
2018_05_10_B08,104
2018_06_19_B12,105
2018_06_19_B02,106
2018_10_07_NDMI,107
B06_q90,108
B06_q75_25,109
B02_q75_25,110
B06_q90_10,111
2018_03_31_NDWI,112
2018_07_29_NDWI,113
2018_10_07_B07,114
2018_11_16_NDBI,115
2018_08_18_B11,116
2018_04_30_B12,117
2018_06_19_B8A,118
2018_04_30_B02,119
2018_03_31_B02,120
2018_04_30_B06,121
2018_05_10_B03,122
2018_04_30_B07,123
B12_q25,124
B12_q10,125
B06_q25,126
B04_q50,127
2018_04_30_B03,128
2018_09_27_B07,129
2019_01_25_B12,130
2018_07_29_B05,131
2018_07_29_B02,132
2018_07_29_B12,133
2018_08_18_B03,134
2018_06_19_NDMI,135
2018_04_30_B01,136
2018_05_10_B11,137
2018_05_10_B01,138
2018_07_29_B01,139
B06_q75,140
B06_q10,141
B09_q10,142
B01_q75_25,143
2018_03_31_B06,144
2018_04_30_NDWI,145
2018_09_27_B8A,146
2018_07_29_B04,147
2018_07_29_B11,148
2018_04_30_B11,149
2018_06_19_B07,150
2018_04_30_NDBI,151
2018_03_31_B01,152
2018_03_31_B11,153
2018_03_31_B8A,154
2018_05_10_NDWI,155
2018_09_27_NDWI,156
2018_10_07_B01,157
B04_q90_10,158
B05_q25,159
2018_03_31_B03,160
2018_03_31_B09,161
2018_10_07_B06,162
2018_09_27_B04,163
2018_08_18_B02,164
2018_03_31_NDBI,165
2018_05_10_B05,166
2018_03_31_NDVI,167
2018_03_31_B04,168
2018_03_31_B12,169
2018_04_30_B09,170
2018_05_10_B04,171
2019_01_25_NDWI,172
2019_02_24_B01,173
B01_q25,174
B8A_q10,175
2018_04_30_B04,176
2018_09_27_NDVI,177
2018_09_27_NDBI,178
2018_08_18_B07,179
2018_08_18_NDBI,180
2018_08_18_NDVI,181
2018_08_18_B8A,182
2018_08_18_B04,183
2018_03_31_B08,184
2018_04_30_B08,185
2018_05_10_B06,186
2018_08_18_B01,187
NDBI_q25,188
NDBI_q50,189
B09_q90_10,190
B01_q75,191
B12_q50,192
B05_q75,193
2019_02_24_NDBI,194
2018_12_06_B08,195
B05_var,196
NDWI_var,197
2019_02_24_NDMI,198
NDWI_q75_25,199
B07_q90,200
B11_q50,201
NDMI_q75_25,202
B07_q75,203
B07_q50,204
B07_q25,205
B08_q75,206
B08_q90_10,207
NDVI_q50,208
NDVI_q25,209
NDMI_q75,210
B08_q90,211
NDMI_q90_10,212
NDMI_q10,213
NDVI_var,214
B03_q90_10,215
B8A_q75_25,216
2018_12_06_NDBI,217
2018_12_06_B09,218
2018_12_06_B01,219
B05_q10,220
NDBI_q90_10,221
2019_02_24_B8A,222
B8A_q75,223
B8A_q90,224
2019_01_25_B03,225
2018_11_16_NDMI,226
2018_09_27_B03,227
2019_02_24_B11,228
NDBI_q10,229
2019_02_24_NDWI,230
B8A_q25,231
B03_var,232
B01_q10,233
B05_q90_10,234
2018_12_06_B11,235
B04_q25,236
B09_q50,237
NDBI_q75,238
B01_q50,239
2018_07_29_NDMI,240
2018_06_19_B08,241
2018_06_19_B11,242
2018_05_10_NDMI,243
2018_06_19_NDBI,244
2018_07_29_B06,245
2018_06_19_B05,246
2018_07_29_NDBI,247
B12_var,248
2018_11_16_B08,249
2019_02_24_B05,250
2018_12_06_B8A,251
B05_q90,252
NDWI_q25,253
B05_q50,254
NDWI_q90_10,255
2018_07_29_NDVI,256
2018_03_31_B05,257
2018_03_31_B07,258
2018_06_19_B04,259
2018_06_19_NDWI,260
2018_07_29_B08,261
2018_06_19_NDVI,262
2018_07_29_B8A,263
B12_q90,264
2018_10_07_B12,265
2018_10_07_NDVI,266
2018_09_27_NDMI,267
2019_02_24_NDVI,268
NDWI_q50,269
2019_02_24_B08,270
NDWI_q75,271
NDVI_q90,272
B04_var,273
2019_01_25_NDMI,274
2018_12_06_B04,275
B12_q75_25,276
B04_q90,277
B04_q75_25,278
B09_var,279
B03_q10,280
B03_q25,281
B03_q50,282
B03_q75,283
NDMI_q50,284
B11_q75,285
B03_q90,286
B08_q75_25,287
B8A_q90_10,288
2019_02_24_B07,289
2019_02_24_B04,290
2018_12_06_NDMI,291
NDBI_var,292
NDBI_q75_25,293
2019_02_24_B12,294
NDWI_q90,295
NDVI_q10,296
2018_11_16_NDVI,297
2019_01_25_B05,298
2019_02_24_B09,299
B8A_var,300
B06_q50,301
B8A_q50,302
NDVI_q75_25,303
B07_var,304
B04_q75,305
B12_q90_10,306
2019_01_25_B8A,307
B04_q10,308
B01_var,309
NDWI_q10,310
B02_q90,311
B07_q75_25,312
B08_q50,313
B08_q10,314
B08_var,315
B07_q90_10,316
B07_q10,317
B08_q25,318
B03_q75_25,319
